country,avg_alignment_score,match_rate,total_questions,matches,model_id,timestamp
Spain,0.3041902716782076,0.431697310439143,6581,2841,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
El Salvador,0.3018429829465139,0.4128187456926258,1451,599,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Germany,0.3012330267578082,0.4388185654008439,8532,3744,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
S. Africa,0.29969707603259743,0.4207346544224263,4138,1741,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
United States,0.29909000334933333,0.4569956875898419,8348,3815,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Israel,0.29813731802530447,0.4574223245109321,3476,1590,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
S. Korea,0.29717973077734566,0.4516425453710085,4353,1966,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Palest. ter.,0.29512780330767213,0.39153794492948285,2978,1166,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
India (Current national sample),0.2923724119959511,0.40773809523809523,3696,1507,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Pakistan (Non-national sample),0.2908192109313877,0.3651877133105802,293,107,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Pakistan,0.2850542891807634,0.3644042232277526,6630,2416,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Italy,0.2842950931028911,0.3986102337334176,6332,2524,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Lebanon,0.28408094374374276,0.3974075710708499,6789,2698,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Poland,0.28258601074365797,0.40864381520119225,6710,2742,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Jordan,0.27608535356759023,0.3933245111013086,6801,2675,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Kenya,0.275601296901391,0.38009715883998235,6793,2582,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Indonesia,0.27487378568040194,0.3971864711164322,6682,2654,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Canada,0.2742952043689323,0.3951393609789259,5884,2325,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Russia,0.27302678623642707,0.3912814434347425,7593,2971,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Mexico,0.2720323392409555,0.3709233222206117,6899,2559,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Philippines,0.27083728535982576,0.39116107772824193,5159,2018,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Turkey,0.2692091848886281,0.3481897970378497,7292,2539,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Japan,0.26916166454124296,0.39294636296840557,6805,2674,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Egypt,0.2679578627108097,0.3904674610449129,5455,2130,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Nigeria,0.26720235573970397,0.3597006948156066,5613,2019,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Sweden,0.2625993196336403,0.370004933399112,4054,1500,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Bulgaria,0.2621079020599135,0.38088874039425324,2993,1140,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Argentina,0.26147308991404633,0.3452523524379812,5845,2018,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Brazil,0.2599912153896447,0.35451818522684664,5334,1891,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Slovakia,0.25716238949965226,0.37506645401382244,3762,1411,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Greece,0.2557565041595339,0.34372549019607845,5100,1753,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Hungary,0.25512860373952123,0.3545849158979924,3686,1307,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Chile,0.2544414155286413,0.3340390496353799,4251,1420,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Australia,0.25294278939624243,0.3636731391585761,4944,1798,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Malaysia,0.2528836980421545,0.37147102526002973,4038,1500,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Peru,0.2514159377623544,0.3458735010580766,4253,1471,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Venezuela,0.25075105547115023,0.32751433038040645,3838,1257,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Netherlands,0.24993966854381303,0.36180795847750863,4624,1673,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Ukraine,0.24950383773842405,0.34546516154145585,5138,1775,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Lithuania,0.246902594079621,0.3559390048154093,2492,887,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Taiwan,0.24627696302564456,0.3253493013972056,501,163,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Tunisia,0.24611927795283825,0.3109193095142513,4982,1549,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Belgium,0.24411539166659757,0.370253164556962,948,351,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Morocco,0.23615019841507853,0.32,2600,832,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Vietnam,0.23134368390209784,0.32727272727272727,3080,1008,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
China,0.2238157446942899,0.3131976362442548,3046,954,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Bolivia,0.22323805481733344,0.2906632868610055,2367,688,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Colombia,0.21546370468139647,0.25583791208791207,2912,745,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Ethiopia,0.21456065667643306,0.28077839555202544,2518,707,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Bangladesh,0.21163113697352076,0.28477842003853565,2595,739,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Nicaragua,0.2045981516999552,0.2630738522954092,2505,659,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Thailand,0.20310147453644953,0.25899565045472517,2529,655,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Singapore,0.20144269517187693,0.26006478482184175,2161,562,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Myanmar,0.19415060240963875,0.2548192771084337,1660,423,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
New Zealand,0.19278119111682226,0.24302059496567505,2185,531,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Iran,0.19060827250608223,0.2621654501216545,1644,431,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Zimbabwe,0.19052649325626203,0.23362235067437379,2076,485,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Libya,0.18794858156028316,0.22399527186761228,1692,379,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Iraq,0.1878042105263155,0.24210526315789474,1900,460,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Maldives,0.18702718676122915,0.22458628841607564,1692,380,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Taiwan ROC,0.18594799054373523,0.23817966903073287,1692,403,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Kyrgyzstan,0.1855155131264917,0.23747016706443913,1676,398,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Tajikistan,0.18466870415647932,0.2402200488997555,1636,393,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Ecuador,0.1844745862884162,0.2470449172576832,1692,418,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Puerto Rico,0.1843475056689348,0.2290249433106576,1764,404,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Guatemala,0.18358238710287875,0.24824355971896955,1708,424,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Kazakhstan,0.18118465227817743,0.21642685851318944,1668,361,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Hong Kong SAR,0.1804864066193852,0.24645390070921985,1692,417,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Armenia,0.1798558823529409,0.23411764705882354,1700,398,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Cyprus,0.17812174940898362,0.22458628841607564,1692,380,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Andorra,0.17773337292161476,0.2155581947743468,1684,363,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Uruguay,0.17666312056737574,0.21099290780141844,1692,357,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Mongolia,0.175221040189125,0.2322695035460993,1692,393,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Northern Ireland,0.17446929824561416,0.23809523809523808,1596,380,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
South Korea,0.17370711060948074,0.2528216704288939,1772,448,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Macau SAR,0.1728251789976134,0.24403341288782815,1676,409,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Czechia,0.17216607565011774,0.23404255319148937,1692,396,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Great Britain,0.17215710723192043,0.23129675810473815,1604,371,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Serbia,0.1677068557919617,0.21335697399527187,1692,361,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Romania,0.16735165484633518,0.18971631205673758,1692,321,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Denmark,0.1659834442425859,0.22701555869872703,1414,321,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Georgia,0.1527680690399141,0.19741100323624594,927,183,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Montenegro,0.15227615965480065,0.17583603020496225,927,163,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Bosnia Herzegovina,0.15065911542610566,0.21035598705501618,927,195,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
North Macedonia,0.14887055016181228,0.19848975188781015,927,184,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Belarus,0.1471456310679612,0.18338727076591155,927,170,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Albania,0.14700107874865165,0.18015102481121897,927,167,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Croatia,0.14371197411003253,0.1941747572815534,927,180,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Azerbaijan,0.14370010787486545,0.18122977346278318,927,168,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Iceland,0.14363764961915132,0.191512513601741,919,176,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Portugal,0.1412545846817694,0.17583603020496225,927,163,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Latvia,0.14062783171521032,0.16936353829557713,927,157,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Switzerland,0.14005501618122992,0.17691477885652643,927,164,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Slovenia,0.14000862998921268,0.1704422869471413,927,158,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Finland,0.1396386192017261,0.19201725997842503,927,178,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Norway,0.13929126213592244,0.15641855447680691,927,145,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Austria,0.1380140237324704,0.16936353829557713,927,157,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Estonia,0.13744983818770204,0.1650485436893204,927,153,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Jordan (Non-national sample),0.13613861386138612,0.0,8,0,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Philippines (Non-national sample),0.13059701492537312,0.0,8,0,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Colombia (Non-national sample),0.11620603015075379,0.0,8,0,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Tanzania (Non-national sample),0.11557788944723618,0.0,8,0,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Angola,0.10340561224489794,0.0,16,0,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Honduras,0.04430332739156269,0.0,16,0,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Ivory Coast,0.0441919191919192,0.0,16,0,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
